"home","202.3564553481577"
"intercept","197.97397830733692"
"sd_atk","111.62753102453325"
"sd_def","424.09121584679707"
"atks_star0","59.56009483060686"
"atks_star1","50.61878909323694"
"atks_star2","54.30666186749068"
"atks_star3","49.86065203179597"
"atks_star4","61.46759736884433"
"atks_star5","60.290972109587685"
"defs_star0","55.160907140709945"
"defs_star1","55.644191394134424"
"defs_star2","59.93520359413469"
"defs_star3","54.14321890625127"
"defs_star4","51.519276227120464"
"defs_star5","57.17628640247896"
