index_0,sample,value
0,0,-0.6620780023513697
1,0,-0.27075513301051213
2,0,-1.335169429176851
3,0,0.10960607549503742
4,0,0.6112152047371173
5,0,-1.3991309824675962
0,1,-0.6089514869592234
1,1,-0.6716005157830285
2,1,-2.1738069843990644
3,1,-0.4021368705914501
4,1,0.49659510480111013
5,1,-0.15339163869417693
0,2,-0.5246874155333813
1,2,-0.5923333035110758
2,2,-0.6428287606387859
3,2,-0.2430168234969201
4,2,0.08498899398265791
5,2,-0.9552199143779359
0,3,-0.6524682002872523
1,3,-0.619976171060715
2,3,-0.9211665316091886
3,3,-0.36268528831806157
4,3,0.4347782489610075
5,3,-0.9129991450290287
0,4,-0.4890613060279644
1,4,-0.33924336491529566
2,4,-0.7286647488554883
3,4,-0.2120875485401852
4,4,0.4523873088999243
5,4,-0.5263754500858293
0,5,-0.3358330887584081
1,5,-0.21983253503579653
2,5,-0.7212034778284295
3,5,0.04073019329348834
4,5,0.4741069953459005
5,5,-0.3724976731407036
0,6,-0.42736542583848003
1,6,-0.32909732232363526
2,6,-0.8265944792309801
3,6,-0.008641638788303818
4,6,0.4752226380363454
5,6,-0.42548264720106416
0,7,-0.5577776466222559
1,7,-0.4956878835640005
2,7,-1.110679088091559
3,7,-0.2047223438359006
4,7,-0.0886497475923893
5,7,-0.5779314111228211
0,8,-0.609669485403312
1,8,-0.48341151291459905
2,8,-0.8686860645457894
3,8,-0.27827135567349204
4,8,0.048100368167150874
5,8,-0.6521089263125162
0,9,-0.7348877666180077
1,9,-0.5493814429635502
2,9,-0.9450172327916775
3,9,-0.2615891333036713
4,9,-0.013538946686693198
5,9,-0.7352443327964239
0,10,-0.7396253322203044
1,10,-0.527025861082451
2,10,-0.8309274728101502
3,10,-0.37089910068174475
4,10,0.1151768261904648
5,10,-0.6713679020932607
0,11,-0.6758134449200274
1,11,-0.5305731093627354
2,11,-0.8444422865296013
3,11,-0.2308600701960553
4,11,0.1159505589084516
5,11,-0.6780652199442558
0,12,-0.5620567203128858
1,12,-0.5542414708550324
2,12,-0.8547811220783874
3,12,-0.2174859507161425
4,12,0.10339155112430043
5,12,-0.7067553235899321
0,13,-0.5157625100020536
1,13,-0.474578253777588
2,13,-0.7398340069335109
3,13,-0.2945914249738346
4,13,0.22546531142187667
5,13,-0.6592430805623456
0,14,-0.6093209696036912
1,14,-0.5448471465568575
2,14,-1.0493113911627603
3,14,-0.3258234084063653
4,14,0.09814417540495368
5,14,-0.7530332385863735
0,15,-0.6886441949957086
1,15,-0.5386953708722562
2,15,-0.914890479567219
3,15,-0.3103203059866101
4,15,0.12953949340667775
5,15,-0.7109191055756658
0,16,-0.706812288974754
1,16,-0.4856731580260729
2,16,-0.9160127616860657
3,16,-0.3646988880270554
4,16,0.07932944433023303
5,16,-0.6950632076592674
0,17,-0.6504761177271146
1,17,-0.5810176954704246
2,17,-0.9269483283598339
3,17,-0.365159549206285
4,17,0.03219683657509783
5,17,-0.6200262214334779
0,18,-0.5668115374573236
